Restaurant,Review,True_Sentiment
Punjabi Kitchen,Top notch North Indian food. The butter chicken is a must try!,1
Punjabi Kitchen,"Terrible service, the food was cold and tasteless.",0
Punjabi Kitchen,"Great multi-cuisine options, loved the tandoori.",1
Punjabi Kitchen,The naan was burnt and the curries lacked flavor.,0
Punjabi Kitchen,Nice place for a family dinner. Good portions and friendly staff.,1
Grill and Chill Majhitar,Must visit.. tasty food.. good and frank staff..,1
Grill and Chill Majhitar,"Worst experience ever, the chicken was undercooked.",0
Grill and Chill Majhitar,It was really good place to hangout with friends and family.,1
Grill and Chill Majhitar,Way too spicy and oily. Gave me a horrible stomach ache.,0
Grill and Chill Majhitar,Perfect spot for evening snacks. The momos are incredible.,1
Coffee Break,A gem for anyone looking for delicious treats at reasonable prices.,1
Coffee Break,"Pastries are soft and flavorful, worth every penny.",1
Coffee Break,"Stale food, total waste of money. Will not visit again.",0
Coffee Break,The birthday cake I ordered was dry and not fresh at all.,0
Coffee Break,Amazing cookies and patties. Very cozy ambiance.,1
Imperfecto Restro,Fresh and delicious food with authentic cuisine. Clean and well-maintained.,1
Imperfecto Restro,Very bad experience. The place was dirty and noisy.,0
Imperfecto Restro,Highly recommend this restaurant for a great dining experience.,1
Imperfecto Restro,Overpriced and small portions. Not worth the hype.,0
Imperfecto Restro,The staff was very courteous and the ambiance is superb.,1
Down Town Restro,Amazing vibe and the drinks were perfect. 5 stars!,1
Down Town Restro,Rude staff and the wait time was over an hour. Disappointed.,0
Down Town Restro,Great place to unwind after college. The music is awesome.,1
Down Town Restro,Food is very average but the drinks are ridiculously expensive.,0
Down Town Restro,Loved the Mughlai dishes here. Totally worth it.,1
Lounge 88,Best place in Majitar to chill with friends. Great DJ!,1
Lounge 88,Too crowded and the service is incredibly slow.,0
Lounge 88,"Good food, decent prices, and a fantastic atmosphere.",1
Lounge 88,The washrooms were unhygienic and smelled bad.,0
Lounge 88,"Try their sizzlers, absolutely mouth-watering and fresh.",1
Paddington,Perfect for a quick bite. The sandwiches are really good.,1
Paddington,Found a hair in my food. Completely disgusted.,0
Paddington,Affordable and tasty. The ideal student hangout spot.,1
Paddington,Staff ignored us for 20 minutes. Left without eating.,0
Paddington,Their cold coffee and fries are the best combo here.,1
Biryani Kitchen,Cool decor and friendly vibe. Food was exceptionally good.,1
Biryani Kitchen,"Music was too loud, couldn't even have a normal conversation.",0
Biryani Kitchen,Generous portions and authentic flavors. Will definitely visit again.,1
Biryani Kitchen,"Chicken was stale and had a weird, unpleasant smell.",0
Biryani Kitchen,Quick service and budget-friendly. Highly recommended.,1
